[2026-05-07T14:55:27.202+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7812, completion-tokens, 350, total-tokens, 8162, cost-ms, 12917, requestId, 02177813691485440360720e551986eb8f548dd35d9b34e42c24c, temperature, 0
[2026-05-07T16:50:12.770+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9002, completion-tokens, 194, total-tokens, 9196, cost-ms, 7728, requestId, 0217781438053324087c9e55f8b322b82cd17f72450d06ecdd97a, temperature, 0
[2026-05-07T16:50:30.700+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9336, completion-tokens, 301, total-tokens, 9637, cost-ms, 10593, requestId, 02177814382038755eca07af4019b515b4a7e2058cdd06798dfa1, temperature, 0
[2026-05-07T16:50:56.785+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9683, completion-tokens, 193, total-tokens, 9876, cost-ms, 7868, requestId, 02177814384920452e9685c073f630ded75ba8167c6d384d1910a, temperature, 0
[2026-05-07T16:52:05.074+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 462, total-tokens, 8275, cost-ms, 15986, requestId, 021778143909444b453980078a994f58832419de5eb892a23dc42, temperature, 0
[2026-05-07T16:52:16.521+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8087, completion-tokens, 117, total-tokens, 8204, cost-ms, 4794, requestId, 02177814393201483396efe0959b892de4c7541b5138112b9da50, temperature, 0
[2026-05-07T16:55:59.309+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7817, completion-tokens, 144, total-tokens, 7961, cost-ms, 5515, requestId, 0217781441541548e13156721812cf3aa873c08415dc3f46755f4, temperature, 0
[2026-05-07T16:56:11.431+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7818, completion-tokens, 232, total-tokens, 8050, cost-ms, 6845, requestId, 021778144164872c63a6ac480f44318ff02bbee696f6110d829b1, temperature, 0
[2026-05-07T16:56:24.394+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8056, completion-tokens, 204, total-tokens, 8260, cost-ms, 7163, requestId, 02177814417751783396efe0959b892de4c7541b51381124637f7, temperature, 0
[2026-05-07T16:56:38.527+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8329, completion-tokens, 125, total-tokens, 8454, cost-ms, 7330, requestId, 02177814419148452e9685c073f630ded75ba8167c6d384acd3c4, temperature, 0
[2026-05-07T16:56:51.714+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7808, completion-tokens, 301, total-tokens, 8109, cost-ms, 9932, requestId, 02177814420202452e9685c073f630ded75ba8167c6d384ea3cf5, temperature, 0
[2026-05-07T16:57:09.955+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8024, completion-tokens, 476, total-tokens, 8500, cost-ms, 12441, requestId, 021778144217801f9065cef9012c43073e2d0226029aed41edfe6, temperature, 0
[2026-05-07T16:57:27.716+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8262, completion-tokens, 333, total-tokens, 8595, cost-ms, 11972, requestId, 021778144236029c63a6ac480f44318ff02bbee696f6110eff462, temperature, 0
[2026-05-07T16:57:40.304+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8506, completion-tokens, 243, total-tokens, 8749, cost-ms, 6801, requestId, 0217781442537868e13156721812cf3aa873c08415dc3f4b7aa7d, temperature, 0
[2026-05-07T16:57:50.544+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8758, completion-tokens, 79, total-tokens, 8837, cost-ms, 4459, requestId, 021778144266370289ee8f5cd43d8cc040debd1abd108aebfad27, temperature, 0
[2026-05-07T16:58:08.230+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7810, completion-tokens, 363, total-tokens, 8173, cost-ms, 12451, requestId, 021778144276070d7b3351599aaeccdacf18b44507ad3d531eefa, temperature, 0
[2026-05-07T16:58:23.880+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8089, completion-tokens, 194, total-tokens, 8283, cost-ms, 8176, requestId, 02177814429599160d9d1fce08649db5f71e61508d2f87f763033, temperature, 0
[2026-05-07T16:58:37.866+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8383, completion-tokens, 216, total-tokens, 8599, cost-ms, 6556, requestId, 0217781443116036c6143abc371ddf801f23c2797c48bf4186e94, temperature, 0
[2026-05-07T16:58:54.616+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8665, completion-tokens, 212, total-tokens, 8877, cost-ms, 9329, requestId, 021778144325578e3c0010419774ef230e4bef6206f936656ced3, temperature, 0
[2026-05-07T17:03:36.162+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 445, total-tokens, 8258, cost-ms, 13572, requestId, 021778144602933b453980078a994f58832419de5eb892ad1c75d, temperature, 0
[2026-05-07T17:05:21.081+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 235, total-tokens, 8048, cost-ms, 6329, requestId, 02177814471510042e276d595e9cfc376ad966d4ec21246da402c, temperature, 0
[2026-05-07T17:05:35.229+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8036, completion-tokens, 242, total-tokens, 8278, cost-ms, 8392, requestId, 02177814472712370efbf1cf5c1ae3d0b3f284807454d2959f918, temperature, 0
[2026-05-07T17:09:51.010+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 512, total-tokens, 8325, cost-ms, 13338, requestId, 021778144978006336c0ccc8833e375a271994f02c20b096e49b8, temperature, 0
[2026-05-07T17:11:45.666+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 489, total-tokens, 8302, cost-ms, 14268, requestId, 02177814509174967b4ef5ba44a9620b39cdc0042b313b363a0a4, temperature, 0
[2026-05-07T17:11:56.519+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8041, completion-tokens, 147, total-tokens, 8188, cost-ms, 5038, requestId, 0217781451117698f8ea30227d9931fee346cda39788dd1300fb7, temperature, 0
[2026-05-07T17:12:07.858+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8245, completion-tokens, 106, total-tokens, 8351, cost-ms, 4853, requestId, 02177814512330167b4ef5ba44a9620b39cdc0042b313b3fc629d, temperature, 0
[2026-05-07T17:12:27.646+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7814, completion-tokens, 410, total-tokens, 8224, cost-ms, 14569, requestId, 0217781451333689a3c11ce9bc6e339bff18e6a11feba8bfd273e, temperature, 0
[2026-05-07T17:12:40.460+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8092, completion-tokens, 148, total-tokens, 8240, cost-ms, 6089, requestId, 021778145154659a7f4d4af3e382e8c5fe721af27b2ecdf871094, temperature, 0
[2026-05-07T17:12:53.893+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7806, completion-tokens, 313, total-tokens, 8119, cost-ms, 10188, requestId, 021778145163948a7f4d4af3e382e8c5fe721af27b2ecdfb1c70d, temperature, 0
[2026-05-07T17:13:13.349+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8076, completion-tokens, 271, total-tokens, 8347, cost-ms, 12145, requestId, 021778145181496d619db30bd0c9858e230a26bb169352564c84b, temperature, 0
[2026-05-07T17:13:28.798+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8351, completion-tokens, 257, total-tokens, 8608, cost-ms, 8041, requestId, 021778145201050d72149264581351fe280677b9f79ce086d6642, temperature, 0
[2026-05-07T17:13:52.863+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8657, completion-tokens, 334, total-tokens, 8991, cost-ms, 10793, requestId, 021778145222360a1b170fc911988aa69fdfa08a353ab275eac67, temperature, 0
[2026-05-07T17:14:42.506+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8982, completion-tokens, 211, total-tokens, 9193, cost-ms, 9607, requestId, 021778145273196adb2c2f0c14195f56dae5a2071f84ca1855613, temperature, 0
[2026-05-07T17:27:17.174+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 339, total-tokens, 8152, cost-ms, 10753, requestId, 021778146026776e8eb33bba790666117f5ace3387e1842598b42, temperature, 0
[2026-05-07T17:27:29.849+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8038, completion-tokens, 215, total-tokens, 8253, cost-ms, 6883, requestId, 021778146043256e3c0010419774ef230e4bef6206f93661cc5bf, temperature, 0
[2026-05-07T17:27:45.951+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7814, completion-tokens, 339, total-tokens, 8153, cost-ms, 10885, requestId, 0217781460553696c6143abc371ddf801f23c2797c48bf4418209, temperature, 0
[2026-05-07T17:27:58.301+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8052, completion-tokens, 153, total-tokens, 8205, cost-ms, 5625, requestId, 02177814607296760d9d1fce08649db5f71e61508d2f87f687d0a, temperature, 0
[2026-05-07T17:28:10.925+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7806, completion-tokens, 295, total-tokens, 8101, cost-ms, 9404, requestId, 02177814608176660d9d1fce08649db5f71e61508d2f87fd74957, temperature, 0
[2026-05-07T17:28:26.206+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8098, completion-tokens, 283, total-tokens, 8381, cost-ms, 7928, requestId, 02177814609856381a9193ce9f89e3456d252c7b9d01d039ad17d, temperature, 0
[2026-05-07T17:28:46.563+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8400, completion-tokens, 385, total-tokens, 8785, cost-ms, 13054, requestId, 0217781461138111cf45d11d421f4f872a8e52de4f86b4f1b13e5, temperature, 0
[2026-05-07T17:29:03.864+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8726, completion-tokens, 323, total-tokens, 9049, cost-ms, 9997, requestId, 021778146134157c9a2a2bfec8b82a34b9075d10d5d2c5e4199a5, temperature, 0
[2026-05-07T17:29:22.583+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9069, completion-tokens, 348, total-tokens, 9417, cost-ms, 11344, requestId, 02177814615153252e9685c073f630ded75ba8167c6d38476fe38, temperature, 0
[2026-05-07T17:29:39.188+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9424, completion-tokens, 276, total-tokens, 9700, cost-ms, 9281, requestId, 021778146170195289ee8f5cd43d8cc040debd1abd108aea13dcd, temperature, 0
[2026-05-07T17:29:52.087+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9781, completion-tokens, 102, total-tokens, 9883, cost-ms, 5453, requestId, 021778146186922b453980078a994f58832419de5eb892aa26815, temperature, 0
[2026-05-07T17:30:09.463+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7828, completion-tokens, 197, total-tokens, 8025, cost-ms, 7146, requestId, 02177814620260983396efe0959b892de4c7541b5138112cb57e3, temperature, 0
[2026-05-07T17:30:22.341+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8059, completion-tokens, 217, total-tokens, 8276, cost-ms, 7039, requestId, 0217781462155929bd9cace4a318cf0466815a250fa99d098914d, temperature, 0
[2026-05-07T17:30:35.995+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8310, completion-tokens, 205, total-tokens, 8515, cost-ms, 7141, requestId, 0217781462291394087c9e55f8b322b82cd17f72450d06ed542ca, temperature, 0
[2026-05-07T17:30:46.696+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8586, completion-tokens, 93, total-tokens, 8679, cost-ms, 4834, requestId, 02177814624215052e9685c073f630ded75ba8167c6d3844b375b, temperature, 0
[2026-05-07T17:30:49.749+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 666, total-tokens, 8479, cost-ms, 18829, requestId, 021778146231262b686cf77507a74aa4905f351832e66171206f6, temperature, 0
[2026-05-07T17:31:02.880+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8038, completion-tokens, 196, total-tokens, 8234, cost-ms, 7348, requestId, 021778146255822c63a6ac480f44318ff02bbee696f6110b5cd87, temperature, 0
[2026-05-07T17:31:13.705+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8287, completion-tokens, 72, total-tokens, 8359, cost-ms, 4176, requestId, 021778146269820f9065cef9012c43073e2d0226029aed49201d0, temperature, 0
[2026-05-07T17:31:39.267+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7814, completion-tokens, 709, total-tokens, 8523, cost-ms, 20363, requestId, 0217781462791923dba4463efaee3235a05765424283b9bba90ee, temperature, 0
[2026-05-07T17:31:51.534+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8024, completion-tokens, 139, total-tokens, 8163, cost-ms, 6501, requestId, 021778146305321e8eb33bba790666117f5ace3387e184235a790, temperature, 0
[2026-05-07T17:32:05.164+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8222, completion-tokens, 104, total-tokens, 8326, cost-ms, 7007, requestId, 021778146318444399eaa44f2e314002ba9c0fca0e9df6e664966, temperature, 0
[2026-05-07T17:32:18.432+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7806, completion-tokens, 306, total-tokens, 8112, cost-ms, 10043, requestId, 021778146328633399eaa44f2e314002ba9c0fca0e9df6e7a7d1f, temperature, 0
[2026-05-07T17:32:34.190+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8100, completion-tokens, 294, total-tokens, 8394, cost-ms, 8430, requestId, 0217781463460568e13156721812cf3aa873c08415dc3f476ca27, temperature, 0
[2026-05-07T17:32:52.349+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8414, completion-tokens, 352, total-tokens, 8766, cost-ms, 10838, requestId, 02177814636180055eca07af4019b515b4a7e2058cdd0674e5eca, temperature, 0
[2026-05-07T17:33:10.039+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8768, completion-tokens, 338, total-tokens, 9106, cost-ms, 10362, requestId, 0217781463799649a0d83abff91b62c26f47d22f8f1622596caef, temperature, 0
[2026-05-07T17:33:26.416+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9122, completion-tokens, 299, total-tokens, 9421, cost-ms, 9039, requestId, 021778146397666beb22b84618335a214e9b1bc67d5e6c3940f40, temperature, 0
[2026-05-07T17:33:47.012+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9504, completion-tokens, 350, total-tokens, 9854, cost-ms, 13269, requestId, 0217781464140329bd9cace4a318cf0466815a250fa99d06f1891, temperature, 0
[2026-05-07T17:34:06.416+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9901, completion-tokens, 373, total-tokens, 10274, cost-ms, 12064, requestId, 0217781464346391cf45d11d421f4f872a8e52de4f86b4fdf1256, temperature, 0
[2026-05-07T17:34:24.265+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 10322, completion-tokens, 454, total-tokens, 10776, cost-ms, 10495, requestId, 02177814645405883396efe0959b892de4c7541b5138112363b05, temperature, 0
[2026-05-07T17:34:40.125+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 10767, completion-tokens, 244, total-tokens, 11011, cost-ms, 8480, requestId, 02177814647192981a9193ce9f89e3456d252c7b9d01d03a8021c, temperature, 0
[2026-05-07T17:34:57.698+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 11257, completion-tokens, 261, total-tokens, 11518, cost-ms, 10203, requestId, 02177814648778381a9193ce9f89e3456d252c7b9d01d03672528, temperature, 0
[2026-05-07T17:35:18.183+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 11787, completion-tokens, 422, total-tokens, 12209, cost-ms, 13133, requestId, 0217781465053352b482879bf9ba508fa4c5c25749ab5597b3cc5, temperature, 0
[2026-05-07T17:35:33.517+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 12246, completion-tokens, 254, total-tokens, 12500, cost-ms, 7957, requestId, 021778146525855beb22b84618335a214e9b1bc67d5e6c3edb882, temperature, 0
[2026-05-07T17:35:54.926+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 12728, completion-tokens, 299, total-tokens, 13027, cost-ms, 14046, requestId, 0217781465411676c6143abc371ddf801f23c2797c48bf455564d, temperature, 0
[2026-05-07T17:36:12.240+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 13281, completion-tokens, 302, total-tokens, 13583, cost-ms, 9910, requestId, 021778146562618e8eb33bba790666117f5ace3387e1842b9fe41, temperature, 0
[2026-05-07T17:36:32.360+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 13867, completion-tokens, 303, total-tokens, 14170, cost-ms, 12708, requestId, 021778146579936399eaa44f2e314002ba9c0fca0e9df6e302f71, temperature, 0
[2026-05-07T17:36:49.903+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 14487, completion-tokens, 335, total-tokens, 14822, cost-ms, 10133, requestId, 021778146600060bec3f42aa889c5b9258a8a5e9d4b8deacd7da0, temperature, 0
[2026-05-07T17:37:06.695+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 15112, completion-tokens, 319, total-tokens, 15431, cost-ms, 9421, requestId, 0217781466175612b482879bf9ba508fa4c5c25749ab55983c697, temperature, 0
[2026-05-07T17:37:22.447+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 15759, completion-tokens, 291, total-tokens, 16050, cost-ms, 8359, requestId, 021778146634375b686cf77507a74aa4905f351832e661779fa83, temperature, 0
[2026-05-07T17:37:39.805+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 16437, completion-tokens, 436, total-tokens, 16873, cost-ms, 9946, requestId, 02177814665016685c9a7acb047d6dabbfa02bbf3a2b67b7ed996, temperature, 0
[2026-05-07T17:37:55.839+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 17079, completion-tokens, 244, total-tokens, 17323, cost-ms, 8573, requestId, 02177814666756137079cdcc08b35ab782b1fd6e8da4cf0b745a0, temperature, 0
[2026-05-07T17:38:13.532+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 17824, completion-tokens, 313, total-tokens, 18137, cost-ms, 10245, requestId, 02177814668357870efbf1cf5c1ae3d0b3f284807454d293bc635, temperature, 0
[2026-05-07T17:57:57.519+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 486, total-tokens, 8299, cost-ms, 12901, requestId, 0217781478649856c6143abc371ddf801f23c2797c48bf4e7a7c7, temperature, 0
[2026-05-07T17:58:43.332+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 237, total-tokens, 8050, cost-ms, 7384, requestId, 021778147916296d7b3351599aaeccdacf18b44507ad3d5253a61, temperature, 0
[2026-05-07T17:58:53.998+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8032, completion-tokens, 172, total-tokens, 8204, cost-ms, 4864, requestId, 021778147929422beb22b84618335a214e9b1bc67d5e6c3dafe82, temperature, 0
[2026-05-07T17:59:05.923+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8270, completion-tokens, 132, total-tokens, 8402, cost-ms, 5278, requestId, 0217781479409317c52c410876ab8649e200d8680cedfa0766265, temperature, 0
[2026-05-07T17:59:19.879+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7814, completion-tokens, 291, total-tokens, 8105, cost-ms, 8747, requestId, 021778147951436fadef930ee560a642a71bddf4d1e9937b2856e, temperature, 0
[2026-05-07T17:59:33.588+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8030, completion-tokens, 194, total-tokens, 8224, cost-ms, 7960, requestId, 0217781479659229a0d83abff91b62c26f47d22f8f16225f566b5, temperature, 0
[2026-05-07T17:59:45.777+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8268, completion-tokens, 122, total-tokens, 8390, cost-ms, 5454, requestId, 0217781479806141cf45d11d421f4f872a8e52de4f86b4f9fa725, temperature, 0
[2026-05-07T17:59:57.390+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7806, completion-tokens, 284, total-tokens, 8090, cost-ms, 8400, requestId, 0217781479892351cf45d11d421f4f872a8e52de4f86b4fff6e80, temperature, 0
[2026-05-07T18:00:09.112+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8094, completion-tokens, 84, total-tokens, 8178, cost-ms, 4271, requestId, 0217781480051281201fb9e16e3f5837dd939723f9496114b8677, temperature, 0
[2026-05-07T18:00:25.482+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7828, completion-tokens, 226, total-tokens, 8054, cost-ms, 6131, requestId, 021778148019639c9a2a2bfec8b82a34b9075d10d5d2c5ef819c8, temperature, 0
[2026-05-07T18:00:39.155+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8056, completion-tokens, 195, total-tokens, 8251, cost-ms, 7829, requestId, 021778148031613399eaa44f2e314002ba9c0fca0e9df6ec2a2f2, temperature, 0
[2026-05-07T18:00:55.504+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8301, completion-tokens, 201, total-tokens, 8502, cost-ms, 9772, requestId, 021778148046023bec3f42aa889c5b9258a8a5e9d4b8deab56aa8, temperature, 0
[2026-05-07T18:01:07.256+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8567, completion-tokens, 126, total-tokens, 8693, cost-ms, 5870, requestId, 021778148061674b686cf77507a74aa4905f351832e6617e3c11e, temperature, 0
[2026-05-08T11:12:16.784+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 542, total-tokens, 8355, cost-ms, 15892, requestId, 0217782099213300076f3f588c303a7ab8265369cf81576d6e2b5, temperature, 0
[2026-05-08T11:12:28.285+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8030, completion-tokens, 140, total-tokens, 8170, cost-ms, 5707, requestId, 02177820994294979be1521b480472bd1aa7097703cfa20af502c, temperature, 0
[2026-05-08T11:12:39.716+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8225, completion-tokens, 133, total-tokens, 8358, cost-ms, 4925, requestId, 021778209955164c54cfbc8e773a7e1d131d5b1cad603e0a1c101, temperature, 0
[2026-05-08T11:12:53.772+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7814, completion-tokens, 291, total-tokens, 8105, cost-ms, 8823, requestId, 02177820996532167b4ef5ba44a9620b39cdc0042b313b3a7f761, temperature, 0
[2026-05-08T11:13:05.136+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8051, completion-tokens, 137, total-tokens, 8188, cost-ms, 5615, requestId, 021778209979892d323cdad39964ab14a5fcc08ad1c36507fc25a, temperature, 0
[2026-05-08T11:13:18.669+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8254, completion-tokens, 157, total-tokens, 8411, cost-ms, 6955, requestId, 021778209992081336c0ccc8833e375a271994f02c20b09399a3f, temperature, 0
[2026-05-08T11:13:31.805+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7806, completion-tokens, 313, total-tokens, 8119, cost-ms, 9936, requestId, 021778210002192336c0ccc8833e375a271994f02c20b09f67b06, temperature, 0
[2026-05-08T11:13:45.080+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8075, completion-tokens, 137, total-tokens, 8212, cost-ms, 5838, requestId, 02177821001960967b4ef5ba44a9620b39cdc0042b313b3a82de5, temperature, 0
